protein,e_metad_r_auc,n_cont_ca_auc,n_saltbr_auc,n_cont_ca_max,force_max,kurt_r,kurt_emeta,sasa_delta,dr_dt_max,max_rmsd_peak_freq,max_rmsd_spec_entropy,min_rmsd_peak_freq,min_rmsd_spec_entropy,eq_rmsd_peak_freq,eq_rmsd_peak_power,eq_rmsd_spec_entropy,peak_rmsd_peak_freq,peak_rmsd_peak_power,peak_rmsd_spec_entropy,well_rmsd_peak_freq,max_rg_peak_freq,max_rg_spec_entropy,min_rg_peak_freq,min_rg_spec_entropy,eq_rg_peak_freq,eq_rg_peak_power,eq_rg_spec_entropy,peak_rg_peak_freq,peak_rg_spec_entropy,well_rg_peak_freq,well_rg_peak_power,well_rg_spec_entropy,exp_dG
6qc0,22889975.142075002,297925.0,221550.0,3.4,79.91088200000002,-0.9626790839554179,-0.11004811144224606,-0.09193999999999995,2.6047132666666742e-05,5.826755189255189e-05,1.2287775041991102,6.666666666666667e-05,1.2614806441216733,8.976190476190476e-05,0.0004994891576963632,2.2223999237571435,1.8e-05,0.010574783392806255,1.849758082788772,1.3833333333333335e-05,6.666666666666667e-05,1.2769239149381382,6.422222222222221e-05,1.300606371886666,7.384325396825398e-05,0.0006895931595763103,2.2232707768276136,1.2000000000000002e-05,1.7980511498574425,1.6673913043478264e-05,0.009180746711172255,1.751816839669241,-12.57
6qc0,56480869.435349986,164475.0,1343075.0,2.4,10.958835000000002,-0.6821336769202606,0.7441594728637974,0.6162189999999995,2.2295847000000027e-05,6.04957264957265e-05,1.1851102295854876,6.101754385964913e-05,1.2991272115585466,3.923462802629469e-05,0.0006370141025081848,2.119017876161441,1.5098308668076111e-05,0.013658774166076294,1.6529214489254236,1.6252864846646446e-05,6.571428571428573e-05,1.2841830176840594,6.666666666666667e-05,1.3293601642867707,5.645847212742596e-05,0.00043594878208226464,2.2350079029391687,1.2e-05,1.8922847210065012,1.1132877381533953e-05,0.007570725853128582,1.8651520625668074,-6.07
6qc0,5716301.369325,0.0,0.0,0.0,81.81012899999999,-0.7912231742897722,0.1895376549194871,0.10311400000000095,3.773200333333333e-05,6.666666666666667e-05,1.205407376342479,6.666666666666667e-05,1.26964711379079,5.195270847573479e-05,0.0023783040603817486,1.9150188808439683,1.5773857257417803e-05,0.021425548025238453,1.67536199239591,1.9499149659863947e-05,7.074074074074075e-05,1.5442001110608092,6.666666666666667e-05,1.4897988631061474,4.139559501270159e-05,0.000916991204579592,2.1288732891882223,1.6241566572961923e-05,1.9841410217893973,2.0545454545454546e-05,0.008289016719182361,1.785518009870756,-4.83
6qc0,19470009.06345,145350.0,299725.0,2.8,35.6064831,-0.9068922105241268,-0.0952324082587288,-1.1967500000000002,3.1418463333333556e-05,6.363636363636365e-05,1.1672605934452904,6.666666666666667e-05,1.3599428833072609,5.48794162826421e-05,0.0009111560666230859,2.026492869092867,1.7022041107569128e-05,0.009404776952208175,1.8001475388078998,2.1818199887967327e-05,6.666666666666667e-05,1.3342768284001605,6.666666666666667e-05,1.2378673210693225,4.420932009167304e-05,0.0011650873877851503,2.071947824958294,1.8913308913308914e-05,1.8913457611244406,1.4662207357859532e-05,0.008170729664976206,1.9591893537886071,-10.06
6qc0,38232949.86488,626725.0,556075.0,4.3,63.6485633,-0.13597010033397,0.05439821140924454,0.16369899999999937,2.9066343939393946e-05,6.144278606965175e-05,1.1417469489191956,6.040787623066105e-05,1.2437556252383657,5.0998463901689715e-05,0.0009994992696349598,2.011260873834446,1.2000000000000002e-05,0.01374902100109249,1.6520056781273502,7.057541412380122e-06,6.666666666666667e-05,1.2566598503673334,6.471544715447155e-05,1.3127211373462502,5.682132637338448e-05,0.0007156460896608487,2.2028091446810607,1.306451612903226e-05,1.8407196196779687,6.730368310114743e-06,0.011366753649444235,1.7577364806925175,-6.17
6qc0,97227534.254075,1832600.0,30800.0,5.1,-0.23827000000000176,-0.5644142930976699,1.0176431119260614,0.08765399999999986,2.513512833333322e-05,6.048945147679325e-05,1.206031592975921,6.585858585858587e-05,1.3106567295244727,5.888888888888889e-05,0.0005301409381291872,2.250142021448506,2.0000000000000005e-05,0.009780978106815188,1.8519740066488666,1.4487456642736147e-05,5.445178782094058e-05,1.3172426167309248,4.7924532871866014e-05,1.3953235641758805,5.952380952380953e-05,0.0004351089881415984,2.357950581201339,1.2933205681985817e-05,1.9662805547538842,9.888403833609313e-06,0.0077402401894119555,1.7847611454365324,-9.89
6qc0,59582643.955775,434175.0,721950.0,4.5,-18.6183895,-0.4913593699167265,0.4308444940879911,0.13168100000000002,2.3280098666666624e-05,5.4588794679966756e-05,1.1514721683399385,6.666666666666667e-05,1.2428988599894208,7.752889642503887e-05,0.0010192284711719735,1.9982938701921813,1.5369047619047623e-05,0.017886234627054545,1.6482036217312117,1.1089704896042923e-05,6.666666666666667e-05,1.1954544338617505,4.851883583223013e-05,1.2135993814329336,8.5e-05,0.000652598280594888,2.127473163280939,1.8272727272727275e-05,1.8241226702375708,1.2000000000000002e-05,0.013751948456274695,1.6965851129186185,-7.23
6qc0,20931159.5657325,369150.0,0.0,4.0,85.58422900000001,-0.8768410657519075,1.5872806858099042,0.04981800000000023,3.203262399999997e-05,6.131519274376418e-05,1.2291658429198975,6.500000000000001e-05,1.5335975222447038,5.6648785996612086e-05,0.0007694720106979401,2.2195054950509814,2.025974025974026e-05,0.011144939788370986,1.8047468713654695,3.421680216802168e-05,6.571428571428573e-05,1.3189996689604757,6.666666666666667e-05,1.3082868778748145,7.031013431013431e-05,0.0006109429090589122,2.2730943112304653,1.0775095471903982e-05,1.9312384790333996,1.2380952380952381e-05,0.008577404714637773,1.8285618186967205,-6.03
6qc0,47294821.594560005,41200.0,1942775.0,0.3,106.553344,-0.8449051978361581,-0.10267731011500106,-0.4862470000000009,3.236583333333343e-05,6.125541125541126e-05,1.1453128958639762,6.184126984126985e-05,1.219052394703078,6.138095238095238e-05,0.0013230259969621095,2.026410816727406,1.4000000000000001e-05,0.02001926708747624,1.6764497130841423,1.3333333333333333e-05,6.151041666666666e-05,1.2648682940716296,6.666666666666667e-05,1.2316779084802987,0.0001,0.0005976375302571107,2.2246890950583973,1.5993403955561768e-05,1.8169941767023459,1.6000000000000003e-05,0.012924989859363304,1.782959062956479,-6.0
6qc0,13056860.367135,200825.0,170375.0,3.0,111.51871200000001,-0.7743212187924792,0.2760173760371729,0.18564800000000012,2.7803176000000108e-05,6.084425036390102e-05,1.2509549688772976,7.238095238095239e-05,1.4803688566872826,6.981240981240983e-05,0.0008272837111473954,2.0625382554525293,1.9796260477111544e-05,0.011186067347753676,1.664540463189595,3.0904496469713865e-05,6.500000000000001e-05,1.395798328919803,6.644444444444445e-05,1.2731384981467837,5.285714285714286e-05,0.0005793942182079814,2.208772171347621,1.2305418719211825e-05,1.8729031266258587,1.418836748182419e-05,0.00634598640243738,1.8716918846643267,-7.55
