          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.650204e-01   0.000000e+00              3             95              1             13   2.268221e+01   0.000000e+00   9.588490e-01
           500   4.774988e-01   9.968440e-01              2             92              1             15   2.343448e+01   7.683032e-02   9.869378e-01
          1000   4.721333e-01   1.989847e+00              2             89              1             13   2.322356e+01   8.165168e-02   9.768501e-01
          1500   4.837091e-01   2.984868e+00              2             90              1             12   2.326974e+01   8.476147e-02   9.786100e-01
          2000   4.677920e-01   3.981680e+00              2             94              1             11   2.311340e+01   9.113971e-02   9.635235e-01
          2500   4.824267e-01   4.975723e+00              3             93              1             12   2.330455e+01   1.028620e-01   9.694132e-01
          3000   4.946238e-01   5.397351e+00              1             91              1             15   2.314179e+01   1.100762e-01   9.772362e-01
          3500   4.721367e-01   6.944637e+00              2             96              1             13   2.310863e+01   9.902814e-02   9.741267e-01
          4000   4.849067e-01   7.935311e+00              2             95              1             13   2.265683e+01   1.046214e-01   9.811212e-01
          4500   4.894179e-01   8.927850e+00              1             98              1             15   2.321580e+01   1.031289e-01   9.804380e-01
          5000   4.875383e-01   9.920222e+00              1             96              1             12   2.331218e+01   1.169741e-01   9.894732e-01
          5500   4.854744e-01   1.090899e+01              3             96              1             16   2.314660e+01   1.085946e-01   9.704457e-01
          6000   5.024991e-01   1.189389e+01              3             95              1             10   2.324622e+01   1.336663e-01   9.787209e-01
          6500   4.983930e-01   1.285451e+01              2             97              2             15   2.314073e+01   1.341635e-01   9.789050e-01
          7000   4.831754e-01   1.383067e+01              3             95              1             15   2.310167e+01   1.316527e-01   9.798494e-01
          7500   4.954821e-01   1.481264e+01              3             96              1             12   2.290217e+01   1.159875e-01   9.726678e-01
          8000   4.898745e-01   1.476645e+01              2             91              1             14   2.318018e+01   1.173330e-01   9.744676e-01
          8500   4.880317e-01   1.675597e+01              3             89              3             13   2.301866e+01   1.238700e-01   9.647192e-01
          9000   4.984833e-01   1.770519e+01              3             92              2             15   2.319284e+01   1.384025e-01   9.692017e-01
          9500   5.161272e-01   1.764501e+01              3             90              2             12   2.341507e+01   1.251179e-01   9.717933e-01
         10000   5.084283e-01   1.864045e+01              3             93              1             13   2.376438e+01   1.319414e-01   9.868910e-01
         10500   5.313124e-01   1.963380e+01              3             91              1             12   2.374688e+01   1.330532e-01   9.890626e-01
         11000   5.168028e-01   2.063111e+01              2             92              2             11   2.346174e+01   1.567737e-01   9.849918e-01
         11500   5.257162e-01   2.162547e+01              3             83              2             12   2.334222e+01   1.511739e-01   9.905860e-01
         12000   5.350206e-01   2.261852e+01              4             90              1             12   2.344061e+01   1.660468e-01   9.929669e-01
         12500   5.225237e-01   2.361562e+01              4             84              1             13   2.338202e+01   1.617545e-01   9.926697e-01
         13000   5.247393e-01   2.460610e+01              4             92              1             12   2.354457e+01   1.565394e-01   9.964532e-01
         13500   5.189397e-01   2.559916e+01              1             88              1             10   2.342558e+01   1.713701e-01   9.883553e-01
         14000   5.328425e-01   2.658295e+01              4             89              1              9   2.317357e+01   1.697510e-01   9.719908e-01
         14500   5.215513e-01   2.758053e+01              3             88              1             13   2.317108e+01   1.669902e-01   9.630823e-01
         15000   5.213552e-01   2.856965e+01              2             85              2             11   2.303367e+01   1.695138e-01   9.576971e-01
         15500   5.150734e-01   2.956518e+01              3             92              3             13   2.331524e+01   1.625965e-01   9.696721e-01
         16000   5.211010e-01   3.056392e+01              2             92              3             15   2.321686e+01   1.623877e-01   9.698404e-01
         16500   5.323139e-01   3.155001e+01              0             87              1             14   2.304244e+01   1.515937e-01   9.611722e-01
         17000   5.333108e-01   3.254473e+01              1             88              1             12   2.330619e+01   1.640927e-01   9.672577e-01
         17500   5.409485e-01   3.353923e+01              1             91              2             15   2.317650e+01   1.610404e-01   9.666099e-01
         18000   5.218691e-01   3.452787e+01              4             86              1             12   2.340290e+01   1.644885e-01   9.639216e-01
         18500   5.425729e-01   2.904760e+01              1             91              2             13   2.334931e+01   1.619717e-01   9.714700e-01
         19000   5.275920e-01   3.650917e+01              2             90              3             12   2.321155e+01   1.539332e-01   9.588048e-01
         19500   5.188428e-01   3.750361e+01              1             89              2             13   2.363715e+01   1.567971e-01   9.673753e-01
         20000   5.265212e-01   3.849649e+01              2             90              1             13   2.311310e+01   1.690395e-01   9.502887e-01
         20500   5.355697e-01   3.948595e+01              0             88              1             11   2.333221e+01   1.624575e-01   9.713082e-01
         21000   5.109074e-01   4.047658e+01              1             86              1             15   2.301177e+01   1.532335e-01   9.527811e-01
         21500   5.334628e-01   4.147175e+01              0             87              1             14   2.335902e+01   1.662576e-01   9.702082e-01
         22000   5.236369e-01   4.247013e+01              2             90              1             15   2.295092e+01   1.759868e-01   9.680213e-01
         22500   5.185972e-01   4.346844e+01              2             91              1             15   2.307430e+01   1.689241e-01   9.641448e-01
         23000   5.152818e-01   4.446208e+01              3             90              1             14   2.306211e+01   1.630354e-01   9.647241e-01
         23500   5.224367e-01   4.545824e+01              2             88              1             13   2.331124e+01   1.842552e-01   9.681339e-01
         24000   5.215943e-01   4.645243e+01              3             92              1             16   2.307771e+01   1.869333e-01   9.475328e-01
         24500   5.112470e-01   4.744361e+01              3             90              1             13   2.324187e+01   1.752176e-01   9.448876e-01
         25000   5.128726e-01   4.838962e+01              3             91              1             12   2.302292e+01   1.742042e-01   9.528613e-01
         25500   5.089073e-01   4.936565e+01              2             87              1             15   2.342014e+01   1.705525e-01   9.595455e-01
         26000   5.078545e-01   5.034021e+01              1             95              1             13   2.343317e+01   1.740063e-01   9.748124e-01
         26500   5.057930e-01   5.132009e+01              1             92              1             14   2.323337e+01   1.564534e-01   9.650565e-01
         27000   5.063891e-01   5.231016e+01              1             89              1             15   2.314667e+01   1.614030e-01   9.637642e-01
         27500   5.007085e-01   5.330404e+01              3             88              1             14   2.300065e+01   1.720102e-01   9.840634e-01
         28000   5.137443e-01   5.425931e+01              3             90              1             15   2.307918e+01   1.680843e-01   9.863714e-01
         28500   5.317177e-01   5.525745e+01              0             89              1             12   2.333732e+01   1.725315e-01   9.925437e-01
         29000   5.070196e-01   5.624498e+01              0             93              1             13   2.307975e+01   1.717809e-01   9.674284e-01
         29500   5.090986e-01   5.723800e+01              3             91              1             14   2.339752e+01   1.746257e-01   9.940505e-01
         30000   5.140566e-01   5.822209e+01              3             91              1             12   2.318675e+01   1.709175e-01   9.867661e-01
         30500   5.231667e-01   5.921668e+01              2             88              1             12   2.315745e+01   1.693063e-01   9.792575e-01
         31000   5.245404e-01   6.021356e+01              2             87              1             10   2.317110e+01   1.709311e-01   9.864151e-01
         31500   5.276382e-01   6.121074e+01              2             91              1             14   2.324111e+01   1.728663e-01   9.886450e-01
         32000   5.095956e-01   5.852988e+01              2             90              1             13   2.330606e+01   1.773857e-01   9.940337e-01
         32500   5.146151e-01   6.319154e+01              2             92              1             13   2.326535e+01   1.825209e-01   1.003049e+00
         33000   5.222680e-01   6.418061e+01              2             92              1             12   2.320006e+01   1.878211e-01   1.004607e+00
         33500   5.295165e-01   6.516646e+01              3             91              1             10   2.326560e+01   1.980690e-01   1.011318e+00
         34000   5.556911e-01   5.557142e+01              2             90              1             15   2.342822e+01   2.033961e-01   1.011488e+00
         34500   5.560959e-01   5.656792e+01              3             87              1             11   2.336279e+01   2.155482e-01   1.005918e+00
         35000   5.598383e-01   5.756510e+01              2             89              1             14   2.325054e+01   2.048980e-01   1.008593e+00
         35500   5.565448e-01   5.856136e+01              1             86              1             12   2.334772e+01   2.109180e-01   1.006079e+00
         36000   5.611143e-01   5.955777e+01              1             91              1             10   2.336363e+01   2.113799e-01   1.020012e+00
         36500   5.573125e-01   6.055370e+01              2             86              1             14   2.322777e+01   2.073866e-01   1.009099e+00
         37000   5.520150e-01   6.154760e+01              0             81              1             12   2.347247e+01   1.820695e-01   1.007897e+00
         37500   5.602079e-01   6.254416e+01              0             85              1             11   2.357921e+01   1.979925e-01   1.020251e+00
         38000   5.611576e-01   6.353642e+01              0             85              1             13   2.339631e+01   1.822017e-01   9.983955e-01
         38500   5.739453e-01   6.453221e+01              2             85              1             11   2.355712e+01   2.054004e-01   1.016298e+00
         39000   5.446444e-01   6.552702e+01              3             88              1             13   2.348327e+01   2.063146e-01   1.010045e+00
         39500   5.604945e-01   6.652509e+01              1             86              1             12   2.312595e+01   2.019335e-01   9.827389e-01
         40000   5.754123e-01   6.751984e+01              0             84              1             10   2.319787e+01   2.018248e-01   9.972669e-01
         40500   5.535257e-01   6.851189e+01              2             88              1             17   2.314446e+01   2.202249e-01   9.915337e-01
         41000   5.648391e-01   6.950677e+01              2             83              1             11   2.307746e+01   2.169481e-01   9.992439e-01
         41500   5.955976e-01   4.995261e+01              1             85              1             14   2.330554e+01   2.158950e-01   9.960815e-01
         42000   5.794564e-01   7.143636e+01              1             88              1             15   2.314262e+01   2.298563e-01   9.926844e-01
