          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.650204e-01   0.000000e+00              3             95              1             13   2.268221e+01   0.000000e+00   9.588490e-01
           500   4.836214e-01   9.968627e-01              1             91              1             16   2.337119e+01   7.696596e-02   9.775588e-01
          1000   4.736553e-01   1.993699e+00              2             92              1             11   2.338895e+01   7.678673e-02   9.649954e-01
          1500   4.693725e-01   2.993044e+00              1             90              1             12   2.332854e+01   7.757337e-02   9.601286e-01
          2000   4.506907e-01   3.529522e+00              3             89              1             12   2.326951e+01   8.774207e-02   9.544182e-01
          2500   4.687046e-01   4.979029e+00              2             89              1              9   2.294586e+01   6.901679e-02   9.599397e-01
          3000   4.878943e-01   5.250616e+00              2             91              1             12   2.325696e+01   9.041344e-02   9.713983e-01
          3500   4.757887e-01   6.969391e+00              0             89              1             11   2.369260e+01   7.981105e-02   9.794004e-01
          4000   4.828873e-01   7.965172e+00              3             91              1             12   2.357426e+01   8.244266e-02   9.733018e-01
          4500   4.692059e-01   8.961482e+00              2             89              1             10   2.320698e+01   8.117323e-02   9.681698e-01
          5000   4.921439e-01   9.947860e+00              4             91              1             13   2.326126e+01   9.762361e-02   9.826700e-01
          5500   4.955127e-01   1.094068e+01              2             93              1             10   2.351596e+01   9.387902e-02   9.945885e-01
          6000   4.933631e-01   1.074119e+01              3             92              1             13   2.294726e+01   9.040846e-02   9.732293e-01
          6500   4.818566e-01   1.288846e+01              3             95              1             16   2.314268e+01   9.426708e-02   9.726529e-01
          7000   4.872222e-01   1.388396e+01              2             97              1             11   2.309719e+01   1.109239e-01   9.731927e-01
          7500   5.024641e-01   1.353623e+01              1             94              1             11   2.322154e+01   1.138536e-01   9.701647e-01
          8000   5.143777e-01   1.449735e+01              1             93              1             15   2.313063e+01   1.228591e-01   9.793825e-01
          8500   5.013029e-01   1.546942e+01              2             94              1             13   2.352233e+01   1.253836e-01   9.808692e-01
          9000   5.199523e-01   1.646655e+01              2             90              1             11   2.324272e+01   1.202757e-01   9.755391e-01
          9500   5.020884e-01   1.744313e+01              3             93              2             13   2.326776e+01   1.296068e-01   9.683899e-01
         10000   5.099666e-01   1.842340e+01              2             94              2             12   2.325059e+01   1.255350e-01   9.561439e-01
         10500   4.975315e-01   1.939068e+01              1             93              1             11   2.320140e+01   1.240289e-01   9.655493e-01
         11000   4.934814e-01   2.150866e+01              1             99              1             12   2.332117e+01   1.264793e-01   9.692357e-01
         11500   4.985822e-01   2.248946e+01              2             99              1             13   2.347632e+01   1.281973e-01   9.852142e-01
         12000   4.921929e-01   2.346055e+01              1            102              1             13   2.318713e+01   1.344233e-01   9.933797e-01
         12500   4.875238e-01   2.443661e+01              3             99              1             12   2.347772e+01   1.339973e-01   9.988899e-01
         13000   4.905020e-01   2.542971e+01              1             93              1             12   2.341456e+01   1.281732e-01   9.823620e-01
         13500   4.810220e-01   2.642094e+01              2             93              1             12   2.349458e+01   1.139587e-01   9.816991e-01
         14000   5.021912e-01   2.599340e+01              2             99              1             15   2.354062e+01   1.355670e-01   9.857692e-01
         14500   4.880102e-01   2.835685e+01              4             98              1             17   2.356893e+01   1.311765e-01   9.852388e-01
         15000   5.027689e-01   2.793019e+01              2             96              1             13   2.345958e+01   1.355784e-01   9.914890e-01
         15500   5.188909e-01   2.891868e+01              2             95              1             14   2.359700e+01   1.559885e-01   9.980870e-01
         16000   5.118461e-01   2.990831e+01              3             98              1             17   2.343604e+01   1.425471e-01   9.962370e-01
         16500   4.892709e-01   3.211728e+01              3             97              1             18   2.362195e+01   1.378562e-01   9.860876e-01
         17000   4.862374e-01   3.310655e+01              3             97              1             13   2.338804e+01   1.395805e-01   9.659650e-01
         17500   4.977363e-01   3.408940e+01              1             95              1             12   2.316884e+01   1.360524e-01   9.800888e-01
         18000   5.055379e-01   3.368194e+01              0             95              1             16   2.350452e+01   1.344860e-01   9.798433e-01
         18500   5.084322e-01   3.466192e+01              3             96              1             14   2.355089e+01   1.514917e-01   9.962859e-01
         19000   5.122163e-01   3.564764e+01              2             94              1             14   2.360540e+01   1.366851e-01   9.968335e-01
         19500   4.833255e-01   3.788923e+01              3             94              1             14   2.324997e+01   1.258618e-01   9.887889e-01
         20000   5.040383e-01   3.757809e+01              1             95              1             13   2.364336e+01   1.293463e-01   9.936289e-01
         20500   4.856743e-01   3.982150e+01              2             96              1             10   2.361789e+01   1.369881e-01   9.905597e-01
