          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
         30000   4.477992e-01   2.626613e+01              3             61              0              1   1.657730e+01   2.820591e-01   8.128702e-01
         30500   4.252589e-01   4.328004e+01              3             62              0              1   1.656947e+01   2.880602e-01   8.220121e-01
         31000   4.105954e-01   4.426549e+01              3             63              0              3   1.659659e+01   3.047282e-01   8.064843e-01
         31500   3.898491e-01   4.525453e+01              3             63              0              5   1.670459e+01   3.184019e-01   8.087878e-01
         32000   4.135541e-01   4.622505e+01              1             58              0              2   1.672882e+01   3.280494e-01   8.045125e-01
         32500   4.367557e-01   4.721001e+01              3             55              0              3   1.663661e+01   3.171794e-01   7.993522e-01
         33000   4.191618e-01   4.817771e+01              3             64              0              2   1.688641e+01   3.249611e-01   8.039613e-01
         33500   4.318715e-01   4.915307e+01              3             60              0              2   1.675937e+01   3.314330e-01   8.049118e-01
         34000   4.297763e-01   5.014547e+01              3             59              0              4   1.679698e+01   3.212488e-01   8.109549e-01
         34500   4.333666e-01   5.111629e+01              1             58              0              4   1.675406e+01   3.051969e-01   8.098917e-01
         35000   4.329105e-01   5.210193e+01              3             65              0              3   1.703036e+01   3.142779e-01   8.274612e-01
         35500   4.320818e-01   5.307659e+01              3             63              0              3   1.674470e+01   3.060858e-01   8.150432e-01
         36000   4.153747e-01   5.406784e+01              3             64              0              3   1.684399e+01   3.253118e-01   8.088117e-01
         36500   4.290247e-01   5.506274e+01              3             61              0              4   1.664444e+01   3.294119e-01   8.050042e-01
         37000   4.266530e-01   5.604115e+01              3             63              0              4   1.655210e+01   3.320249e-01   8.045703e-01
         37500   4.321976e-01   5.702128e+01              3             62              0              3   1.654146e+01   3.423442e-01   7.992244e-01
         38000   4.322161e-01   5.801410e+01              3             64              0              6   1.687054e+01   3.468890e-01   7.983828e-01
         38500   4.205914e-01   5.899548e+01              3             64              0              5   1.708888e+01   3.449803e-01   8.029995e-01
         39000   4.319254e-01   4.287190e+01              2             63              0              4   1.728384e+01   3.523686e-01   8.153646e-01
         39500   4.564139e-01   4.381904e+01              2             62              0              3   1.713681e+01   3.594010e-01   7.983968e-01
         40000   4.238992e-01   6.191084e+01              3             64              0              2   1.706765e+01   3.625895e-01   8.072801e-01
         40500   4.260211e-01   6.289401e+01              1             67              0              6   1.706647e+01   3.584008e-01   8.200993e-01
         41000   4.227829e-01   6.388017e+01              3             64              0              4   1.717856e+01   3.742521e-01   8.139251e-01
         41500   4.158313e-01   6.487319e+01              3             61              0              3   1.702038e+01   3.554702e-01   8.059608e-01
         42000   4.647263e-01   4.846364e+01              2             61              0              2   1.692562e+01   3.572826e-01   8.016141e-01
         42500   4.521275e-01   4.945349e+01              3             62              1              2   1.722558e+01   3.676941e-01   8.032696e-01
         43000   4.788669e-01   5.043505e+01              3             58              0              4   1.691216e+01   3.933706e-01   7.997164e-01
         43500   4.960175e-01   3.231068e+01              2             61              0              4   1.660192e+01   3.841404e-01   8.027136e-01
         44000   5.090664e-01   3.328179e+01              2             62              0              4   1.690155e+01   3.850145e-01   8.167121e-01
         44500   4.919407e-01   5.327890e+01              3             61              0              5   1.676745e+01   3.859274e-01   7.915624e-01
         45000   5.044768e-01   3.525665e+01              2             60              1              5   1.686303e+01   3.994184e-01   7.966143e-01
         45500   5.019312e-01   3.625243e+01              3             56              1              4   1.705039e+01   3.733881e-01   8.088634e-01
         46000   4.882894e-01   3.723988e+01              3             59              1              3   1.709322e+01   3.813064e-01   8.113683e-01
         46500   5.166813e-01   3.823577e+01              1             59              1              6   1.716693e+01   3.832325e-01   8.237693e-01
         47000   4.923075e-01   3.923052e+01              2             58              0              6   1.700241e+01   3.685616e-01   8.116468e-01
         47500   5.222187e-01   4.021430e+01              3             60              1              3   1.706118e+01   3.757486e-01   8.135323e-01
         48000   5.130294e-01   4.120797e+01              2             59              0              5   1.718326e+01   3.766302e-01   8.295242e-01
         48500   5.270823e-01   4.220028e+01              1             60              0              4   1.690224e+01   3.612969e-01   8.132186e-01
         49000   5.044063e-01   4.319154e+01              1             57              0              6   1.720932e+01   3.603888e-01   8.087631e-01
         49500   5.114656e-01   4.418582e+01              2             60              0              2   1.692858e+01   3.732391e-01   8.142047e-01
         50000   5.204637e-01   4.517953e+01              2             52              0              5   1.701076e+01   3.579056e-01   8.190481e-01
         50500   4.956232e-01   4.617456e+01              3             52              0              5   1.698645e+01   3.601896e-01   8.172775e-01
         51000   5.177547e-01   4.716348e+01              2             51              0              3   1.670011e+01   3.598584e-01   8.211497e-01
         51500   4.846526e-01   4.811202e+01              2             56              0              3   1.689490e+01   3.488617e-01   8.106521e-01
         52000   5.251194e-01   4.909463e+01              2             54              0              3   1.689759e+01   3.568860e-01   8.086803e-01
         52500   5.126291e-01   5.006982e+01              3             54              0              3   1.664649e+01   3.395343e-01   8.216120e-01
         53000   5.350712e-01   5.105556e+01              3             56              0              4   1.642535e+01   3.575244e-01   8.094326e-01
         53500   5.364422e-01   5.203012e+01              3             59              0              5   1.664942e+01   3.649675e-01   8.052153e-01
         54000   5.363471e-01   3.496589e+01              1             50              0              4   1.639144e+01   3.753522e-01   7.977880e-01
         54500   5.096427e-01   5.396800e+01              3             53              0              5   1.651556e+01   3.727338e-01   8.000122e-01
         55000   5.377802e-01   3.683938e+01              2             50              0              5   1.663929e+01   3.687948e-01   8.102533e-01
         55500   5.308760e-01   3.782068e+01              2             53              0              5   1.655075e+01   3.709370e-01   8.066780e-01
         56000   5.349385e-01   3.879020e+01              3             53              0              5   1.692835e+01   3.795631e-01   8.097607e-01
         56500   5.271358e-01   3.976477e+01              2             52              0              5   1.683085e+01   3.793971e-01   8.156017e-01
         57000   5.337086e-01   4.070942e+01              2             52              0              5   1.654230e+01   3.733539e-01   8.004981e-01
         57500   5.488049e-01   4.170059e+01              2             54              0              6   1.629546e+01   3.959732e-01   7.839162e-01
         58000   5.556932e-01   4.269190e+01              2             52              0              4   1.647443e+01   3.758180e-01   8.059764e-01
         58500   5.720910e-01   4.366891e+01              0             49              0              4   1.636039e+01   3.886915e-01   8.015923e-01
         59000   5.605290e-01   4.466479e+01              1             52              0              4   1.651635e+01   3.522196e-01   8.098776e-01
         59500   5.347548e-01   4.565622e+01              0             55              0              5   1.651316e+01   3.732308e-01   8.038175e-01
         60000   5.376757e-01   4.662081e+01              2             53              0              5   1.658008e+01   3.744777e-01   8.081692e-01
         60500   5.581806e-01   4.760272e+01              2             51              0              3   1.650024e+01   3.955390e-01   7.929386e-01
         61000   5.523550e-01   4.858412e+01              2             51              0              6   1.668692e+01   3.805723e-01   8.047894e-01
         61500   5.564898e-01   4.957848e+01              2             50              0              6   1.650637e+01   3.898720e-01   7.967940e-01
         62000   5.746657e-01   5.057653e+01              1             50              0              5   1.652036e+01   3.715788e-01   8.099691e-01
         62500   5.817212e-01   3.361420e+01              1             48              0              4   1.641624e+01   3.702443e-01   7.993054e-01
         63000   5.714980e-01   5.252915e+01              1             53              0              4   1.637532e+01   3.791322e-01   7.948763e-01
         63500   5.618443e-01   5.352491e+01              2             52              0              4   1.633197e+01   3.660579e-01   7.976874e-01
         64000   5.728635e-01   5.452225e+01              2             47              0              4   1.606901e+01   3.690863e-01   7.894930e-01
         64500   5.320685e-01   7.196135e+01              1             54              0              5   1.638208e+01   3.761007e-01   8.015100e-01
         65000   5.554178e-01   5.648043e+01              2             51              0              4   1.614328e+01   4.016092e-01   7.866689e-01
         65500   5.594292e-01   5.747487e+01              2             51              0              4   1.624110e+01   3.891735e-01   7.971133e-01
         66000   5.613617e-01   5.846543e+01              2             50              0              5   1.643151e+01   3.983591e-01   7.936525e-01
         66500   5.725059e-01   5.945606e+01              2             52              0              5   1.640745e+01   4.119681e-01   7.804243e-01
         67000   5.614106e-01   6.045098e+01              1             50              0              3   1.620238e+01   4.114637e-01   7.915121e-01
         67500   5.570785e-01   6.144180e+01              2             51              0              4   1.632690e+01   4.067993e-01   7.879778e-01
         68000   5.925266e-01   4.331085e+01              1             50              0              5   1.621939e+01   4.045608e-01   7.780086e-01
         68500   5.783596e-01   6.339160e+01              2             51              0              5   1.618346e+01   4.219187e-01   7.737269e-01
         69000   5.846221e-01   6.438035e+01              2             51              0              5   1.632418e+01   4.419664e-01   7.829968e-01
         69500   5.569291e-01   6.536352e+01              1             54              0              5   1.611031e+01   4.591195e-01   7.637392e-01
         70000   5.549827e-01   6.635919e+01              0             50              0              6   1.629941e+01   4.292446e-01   7.745770e-01
         70500   5.561053e-01   6.733761e+01              2             50              0              4   1.608128e+01   4.171394e-01   7.732208e-01
         71000   5.591583e-01   6.833494e+01              1             51              0              5   1.633408e+01   4.099715e-01   7.860028e-01
         71500   5.322382e-01   6.932517e+01              2             54              0              4   1.619562e+01   3.993284e-01   7.915811e-01
         72000   5.640558e-01   7.030298e+01              1             47              0              3   1.611732e+01   4.061261e-01   7.853443e-01
         72500   5.496275e-01   7.128916e+01              2             53              0              6   1.631644e+01   4.214988e-01   7.868214e-01
         73000   6.022221e-01   5.209430e+01              1             50              0              4   1.625202e+01   4.132352e-01   7.941132e-01
         73500   5.852285e-01   7.318250e+01              2             47              0              4   1.630794e+01   4.303222e-01   7.955711e-01
         74000   6.089320e-01   5.406474e+01              1             47              0              4   1.622322e+01   4.133134e-01   8.007626e-01
         74500   5.842320e-01   7.502562e+01              1             49              0              3   1.620096e+01   4.206619e-01   7.893614e-01
         75000   5.965988e-01   5.602960e+01              2             49              0              3   1.623533e+01   4.278371e-01   7.979019e-01
         75500   6.020225e-01   5.701238e+01              2             48              0              5   1.633871e+01   4.268377e-01   7.917652e-01
         76000   5.975938e-01   5.800988e+01              1             49              0              3   1.648742e+01   4.096474e-01   7.916052e-01
         76500   5.958871e-01   5.897729e+01              2             51              0              4   1.633975e+01   4.118207e-01   7.936041e-01
         77000   6.275859e-01   5.996126e+01              1             47              0              3   1.626760e+01   4.221618e-01   7.834084e-01
         77500   6.322727e-01   3.893999e+01              1             44              0              4   1.614503e+01   4.159258e-01   7.910834e-01
         78000   6.391851e-01   3.991174e+01              2             48              0              3   1.649384e+01   4.236014e-01   8.070138e-01
         78500   6.815173e-01   4.090099e+01              2             48              0              2   1.651652e+01   4.248541e-01   8.035793e-01
         79000   6.938935e-01   2.309512e+01              1             48              0              3   1.633722e+01   4.284641e-01   7.987554e-01
         79500   6.919985e-01   2.407918e+01              2             43              0              3   1.642803e+01   4.313463e-01   7.880591e-01
         80000   7.099261e-01   2.507431e+01              1             47              0              4   1.637494e+01   4.255910e-01   7.926022e-01
         80500   7.065396e-01   2.606978e+01              2             50              0              3   1.641489e+01   4.300418e-01   7.941118e-01
         81000   7.104167e-01   2.706048e+01              0             49              0              5   1.647520e+01   4.305679e-01   7.961098e-01
         81500   7.073162e-01   2.805387e+01              2             47              0              4   1.634105e+01   4.119476e-01   7.989847e-01
         82000   6.979353e-01   2.905040e+01              2             42              0              5   1.652761e+01   4.181499e-01   8.132316e-01
         82500   7.021176e-01   3.003260e+01              2             43              0              3   1.646066e+01   4.047661e-01   8.100954e-01
         83000   7.074476e-01   3.102439e+01              2             46              0              4   1.609846e+01   4.118725e-01   7.881138e-01
         83500   6.676258e-01   5.014119e+01              2             46              0              5   1.610039e+01   4.243012e-01   7.911445e-01
         84000   6.963263e-01   3.295989e+01              2             44              0              3   1.619406e+01   4.196253e-01   7.782710e-01
         84500   7.062978e-01   3.395020e+01              2             44              0              3   1.625147e+01   4.410691e-01   7.812584e-01
         85000   7.487636e-01   2.063434e+01              1             45              0              3   1.612820e+01   4.286042e-01   7.945899e-01
         85500   7.335815e-01   2.161361e+01              2             42              0              1   1.638121e+01   4.307926e-01   7.962621e-01
         86000   7.376013e-01   2.257341e+01              1             41              0              2   1.613198e+01   4.266590e-01   7.930844e-01
         86500   7.363722e-01   2.354869e+01              2             41              0              3   1.637108e+01   4.443711e-01   7.979182e-01
         87000   7.397862e-01   2.449721e+01              1             40              0              1   1.620146e+01   4.394081e-01   7.846706e-01
         87500   7.223610e-01   3.976638e+01              1             41              0              3   1.627642e+01   4.426290e-01   8.014946e-01
         88000   7.293936e-01   4.075953e+01              1             39              0              2   1.628797e+01   4.410243e-01   7.903548e-01
         88500   7.034379e-01   4.174798e+01              2             43              0              5   1.655222e+01   4.473765e-01   7.940755e-01
         89000   7.018457e-01   4.273709e+01              2             42              0              4   1.641076e+01   4.666601e-01   7.846154e-01
         89500   7.311414e-01   2.891224e+01              2             43              0              4   1.616698e+01   4.501517e-01   7.948591e-01
         90000   7.134545e-01   4.469177e+01              2             44              0              4   1.612723e+01   4.588927e-01   7.821245e-01
         90500   7.308254e-01   3.075043e+01              0             44              0              3   1.634683e+01   4.521952e-01   7.867635e-01
         91000   6.900954e-01   4.666678e+01              2             49              0              3   1.629904e+01   4.421764e-01   8.019203e-01
         91500   7.108952e-01   4.766053e+01              2             47              0              3   1.616159e+01   4.640771e-01   7.940186e-01
         92000   7.250059e-01   4.864686e+01              2             53              0              3   1.613705e+01   4.642932e-01   7.904145e-01
         92500   7.300922e-01   4.960484e+01              1             44              0              4   1.628406e+01   4.639931e-01   7.927819e-01
         93000   7.166837e-01   5.060069e+01              1             48              0              6   1.636980e+01   4.898357e-01   7.898009e-01
         93500   7.460070e-01   3.624674e+01              1             47              0              7   1.632339e+01   4.852565e-01   7.943689e-01
         94000   7.569623e-01   3.721875e+01              1             46              0              5   1.639681e+01   4.763832e-01   7.981087e-01
         94500   7.688772e-01   3.821749e+01              2             46              0              3   1.620984e+01   4.618585e-01   7.898885e-01
         95000   7.797524e-01   3.921215e+01              2             48              0              4   1.612381e+01   4.792621e-01   7.727156e-01
         95500   7.774607e-01   4.020415e+01              1             49              0              3   1.628845e+01   4.938992e-01   7.826691e-01
         96000   7.710039e-01   4.119292e+01              1             48              0              5   1.622401e+01   4.836834e-01   7.695523e-01
         96500   7.800894e-01   2.756456e+01              0             51              0              4   1.602806e+01   4.961955e-01   7.627404e-01
         97000   7.684935e-01   4.316906e+01              2             48              0              5   1.616333e+01   4.866697e-01   7.676069e-01
         97500   7.779389e-01   4.413899e+01              2             45              0              4   1.617564e+01   4.824479e-01   7.706493e-01
         98000   7.802499e-01   4.512425e+01              2             44              0              4   1.640639e+01   4.916611e-01   7.670880e-01
         98500   7.491488e-01   4.611668e+01              2             43              0              4   1.627060e+01   4.914148e-01   7.834656e-01
         99000   7.900172e-01   4.710693e+01              2             41              0              3   1.614255e+01   4.826477e-01   7.731007e-01
         99500   7.781002e-01   4.805880e+01              1             44              0              3   1.631172e+01   4.732681e-01   7.825946e-01
        100000   7.548937e-01   4.905057e+01              2             48              0              3   1.652034e+01   4.835851e-01   7.993864e-01
        100500   7.549490e-01   5.004163e+01              2             47              0              4   1.657901e+01   4.735436e-01   7.994178e-01
        101000   7.551671e-01   5.102958e+01              2             49              0              3   1.648857e+01   4.726209e-01   8.052813e-01
        101500   7.927653e-01   3.660299e+01              2             43              0              4   1.681882e+01   4.695266e-01   8.215107e-01
        102000   7.807445e-01   3.755869e+01              2             45              0              5   1.690584e+01   4.682718e-01   8.218915e-01
        102500   8.113079e-01   3.853859e+01              2             42              0              6   1.664106e+01   4.764025e-01   8.064047e-01
        103000   8.145769e-01   3.953526e+01              2             44              0              5   1.672080e+01   4.671989e-01   8.200288e-01
        103500   8.133305e-01   4.052257e+01              2             44              0              3   1.658002e+01   4.437097e-01   8.187309e-01
        104000   8.432018e-01   2.591934e+01              2             44              0              4   1.660490e+01   4.513738e-01   8.287101e-01
        104500   8.056101e-01   4.248782e+01              2             47              0              4   1.672654e+01   4.460804e-01   8.269292e-01
        105000   7.928427e-01   4.347965e+01              2             48              0              4   1.671899e+01   4.435654e-01   8.360517e-01
        105500   8.009772e-01   4.445592e+01              2             43              0              1   1.647604e+01   4.533323e-01   8.168960e-01
        106000   8.004726e-01   4.544074e+01              2             41              0              4   1.651247e+01   4.485754e-01   8.216848e-01
        106500   8.049930e-01   4.642670e+01              1             42              0              4   1.657141e+01   4.442105e-01   8.269374e-01
        107000   8.412253e-01   3.098395e+01              0             38              0              2   1.651548e+01   4.651745e-01   8.016718e-01
        107500   8.273573e-01   4.838507e+01              0             40              0              4   1.645648e+01   4.557197e-01   7.965451e-01
        108000   8.513234e-01   3.292786e+01              2             40              0              5   1.662268e+01   4.624582e-01   8.078751e-01
        108500   8.502463e-01   3.391433e+01              1             37              0              4   1.659158e+01   4.595581e-01   8.182005e-01
        109000   8.341175e-01   5.120010e+01              2             38              0              4   1.654821e+01   4.657888e-01   8.233355e-01
        109500   8.322198e-01   3.583963e+01              1             41              0              5   1.656777e+01   4.522237e-01   8.182569e-01
        110000   8.250878e-01   5.317999e+01              1             42              0              5   1.656123e+01   4.362736e-01   8.221846e-01
        110500   8.530685e-01   3.773482e+01              2             41              0              5   1.651371e+01   4.200786e-01   8.344005e-01
        111000   8.387958e-01   3.872856e+01              1             40              0              4   1.657319e+01   4.233757e-01   8.344216e-01
        111500   8.360219e-01   5.599003e+01              2             43              0              5   1.656084e+01   4.267628e-01   8.359483e-01
        112000   8.539654e-01   4.065778e+01              1             38              0              5   1.643335e+01   4.147148e-01   8.486601e-01
        112500   8.369924e-01   4.163924e+01              1             39              0              4   1.633066e+01   4.125703e-01   8.313435e-01
        113000   8.574073e-01   4.261919e+01              1             41              0              5   1.639199e+01   4.049370e-01   8.243030e-01
        113500   8.369965e-01   5.971431e+01              2             42              0              4   1.659178e+01   4.069746e-01   8.293990e-01
        114000   8.450520e-01   6.065658e+01              1             39              0              3   1.628901e+01   3.967413e-01   8.238147e-01
        114500   8.539038e-01   4.557965e+01              0             45              0              3   1.682315e+01   4.046916e-01   8.557381e-01
        115000   8.510612e-01   4.656603e+01              1             46              0              5   1.642973e+01   4.108470e-01   8.296161e-01
        115500   8.282799e-01   6.347473e+01              2             41              0              5   1.633584e+01   3.941581e-01   8.302786e-01
        116000   8.128565e-01   6.446797e+01              1             44              0              5   1.665231e+01   4.127112e-01   8.547624e-01
        116500   8.485179e-01   4.936215e+01              2             46              0              4   1.668633e+01   3.986236e-01   8.557499e-01
        117000   8.458815e-01   5.035358e+01              0             43              0              4   1.657993e+01   4.188530e-01   8.553682e-01
        117500   8.486146e-01   5.133261e+01              1             42              0              4   1.663184e+01   4.217561e-01   8.419776e-01
        118000   8.486300e-01   5.232685e+01              1             47              0              4   1.675059e+01   4.342443e-01   8.409910e-01
        118500   8.658300e-01   5.332316e+01              2             49              0              5   1.657500e+01   4.263783e-01   8.305095e-01
        119000   8.767186e-01   5.428400e+01              1             39              0              5   1.673234e+01   4.470205e-01   8.245378e-01
        119500   8.792044e-01   5.527244e+01              2             42              0              4   1.666384e+01   4.410170e-01   8.246934e-01
        120000   8.549893e-01   5.626831e+01              2             44              0              6   1.663738e+01   4.542367e-01   8.220477e-01
        120500   8.938310e-01   3.852051e+01              1             40              0              4   1.631753e+01   4.232071e-01   8.061591e-01
        121000   9.128824e-01   3.951566e+01              1             41              0              5   1.648753e+01   4.210345e-01   8.234254e-01
        121500   9.270893e-01   2.335226e+01              0             41              0              5   1.641965e+01   4.203948e-01   8.186029e-01
        122000   9.446395e-01   2.432016e+01              1             38              0              4   1.658453e+01   4.073764e-01   8.331962e-01
        122500   9.772452e-01   2.531222e+01              0             38              0              5   1.689659e+01   4.218676e-01   8.402765e-01
        123000   9.681060e-01   2.630605e+01              0             39              0              3   1.683943e+01   4.154555e-01   8.305708e-01
        123500   9.344593e-01   4.412711e+01              2             43              0              4   1.672406e+01   4.091208e-01   8.433282e-01
        124000   9.398571e-01   2.825135e+01              1             41              0              3   1.681343e+01   4.054115e-01   8.252210e-01
        124500   9.095681e-01   4.606460e+01              2             41              0              3   1.669502e+01   4.193822e-01   8.232484e-01
        125000   9.483060e-01   3.009695e+01              2             42              0              4   1.650719e+01   4.281030e-01   8.159182e-01
        125500   9.482149e-01   3.108302e+01              2             41              0              5   1.665706e+01   4.287356e-01   8.209631e-01
        126000   9.423026e-01   4.893431e+01              2             45              0              5   1.669993e+01   4.221630e-01   8.328813e-01
        126500   9.653963e-01   3.303033e+01              2             39              0              6   1.656804e+01   4.299797e-01   8.281915e-01
        127000   9.496396e-01   3.402081e+01              1             40              0              6   1.649620e+01   4.313217e-01   8.174877e-01
        127500   9.429942e-01   3.500735e+01              2             42              0              5   1.637562e+01   4.382679e-01   8.095480e-01
        128000   9.469644e-01   3.598142e+01              0             44              0              4   1.641281e+01   4.522310e-01   8.215053e-01
        128500   9.516235e-01   3.695740e+01              1             38              0              5   1.647175e+01   4.590591e-01   8.272213e-01
        129000   9.365952e-01   3.794142e+01              0             38              0              4   1.654767e+01   4.701354e-01   8.306014e-01
        129500   9.364386e-01   3.892165e+01              1             38              0              5   1.628538e+01   4.667913e-01   8.067124e-01
        130000   9.516928e-01   3.989836e+01              2             42              0              4   1.651766e+01   4.667563e-01   8.053553e-01
        130500   9.597163e-01   4.089068e+01              2             42              0              5   1.672934e+01   4.807603e-01   8.141355e-01
        131000   9.581236e-01   4.188728e+01              1             36              0              5   1.630363e+01   4.798390e-01   8.076793e-01
        131500   9.495853e-01   4.288007e+01              2             41              0              5   1.642471e+01   4.742303e-01   8.129937e-01
        132000   9.296404e-01   6.011101e+01              2             39              0              4   1.672136e+01   4.630583e-01   8.272797e-01
        132500   9.378140e-01   4.478709e+01              1             41              0              3   1.698685e+01   4.589398e-01   8.344812e-01
        133000   9.461026e-01   4.576198e+01              2             44              0              4   1.652424e+01   4.373683e-01   8.428619e-01
