         r_bin          count          force            pmf
      0.275000           6390   1.185675e+03   1.318835e+02
      0.325000          33294   1.014862e+03   8.114043e+01
      0.375000          38701   8.423082e+02   3.902502e+01
      0.425000          35382   6.244696e+02   7.801541e+00
      0.475000          24933   1.560308e+02   0.000000e+00
      0.525000          41670  -1.013566e+02   5.067829e+00
      0.575000          22822  -4.188001e+02   2.600784e+01
      0.625000          14525  -7.084109e+02   6.142838e+01
      0.675000           3389  -1.006030e+03   1.117299e+02
      0.725000           7059  -5.999159e+02   1.417257e+02
      0.775000          17665  -5.336210e+02   1.684067e+02
      0.825000           8972  -3.667527e+02   1.867444e+02
      0.875000          31149  -3.950643e+02   2.064976e+02
      0.925000          18352  -5.736483e+02   2.351800e+02
      0.975000          15522  -7.209867e+02   2.712293e+02
      1.025000           7884  -6.820613e+02   3.053324e+02
      1.075000          25295  -5.875634e+02   3.347105e+02
      1.125000          14880  -6.014151e+02   3.647813e+02
      1.175000          14036  -6.203537e+02   3.957990e+02
      1.225000          11823  -6.227285e+02   4.269354e+02
      1.275000          14300  -6.064664e+02   4.572587e+02
      1.325000           2993  -5.627326e+02   4.853954e+02
      1.375000           9190  -3.210792e+02   5.014493e+02
      1.425000          14732  -3.663253e+02   5.197656e+02
      1.475000          11340  -3.516128e+02   5.373462e+02
      1.525000           6409  -4.304808e+02   5.588703e+02
      1.575000           7628  -3.876868e+02   5.782546e+02
      1.625000           6555  -2.993941e+02   5.932243e+02
      1.675000          14679  -2.676207e+02   6.066053e+02
      1.725000          14214  -3.315678e+02   6.231837e+02
      1.775000           9907  -4.067155e+02   6.435195e+02
      1.825000           6738  -4.645933e+02   6.667492e+02
      1.875000          16066  -4.071735e+02   6.871078e+02
      1.925000           5404  -4.302415e+02   7.086199e+02
      1.975000           5957  -3.735862e+02   7.272992e+02
      2.025000           7801  -3.511981e+02   7.448591e+02
      2.075000           7441  -9.846612e+01   7.497824e+02
      2.125000          12955  -1.590065e+02   7.577328e+02
      2.175000          15970   1.220878e+01   7.571223e+02
      2.225000          18517  -7.346429e+00   7.574896e+02
      2.275000          21272  -1.238338e+02   7.636813e+02
      2.325000          15171  -2.427856e+02   7.758206e+02
      2.375000          11421  -9.088994e+01   7.803651e+02
      2.425000          10873  -2.392341e+02   7.923268e+02
      2.475000          19216  -2.842809e+02   8.065409e+02
      2.525000          13265  -3.044906e+02   8.217654e+02
      2.575000          21110  -4.186181e+02   8.426963e+02
      2.625000           7700  -5.641373e+02   8.709032e+02
      2.675000            333  -5.663080e+02   8.992186e+02
