         r_bin          count          force            pmf
      0.475000           2457   2.712129e+02   2.144017e+00
      0.525000          26583   4.288034e+01   0.000000e+00
      0.575000          24958  -2.108883e+02   1.054442e+01
      0.625000          14194  -4.475079e+02   3.291981e+01
      0.675000          27437  -6.286135e+02   6.435049e+01
      0.725000          15647  -8.047439e+02   1.045877e+02
      0.775000           6471  -7.613046e+02   1.426529e+02
      0.825000          11886  -6.880133e+02   1.770536e+02
      0.875000          14625  -1.335878e+02   1.837330e+02
      0.925000          27487  -1.117005e+02   1.893180e+02
      0.975000          14137  -1.509350e+01   1.900727e+02
      1.025000          15285  -6.262359e+01   1.932038e+02
      1.075000          16452  -1.442190e+02   2.004148e+02
      1.125000          13931  -5.339538e+01   2.030846e+02
      1.175000          22677  -9.044022e+01   2.076066e+02
      1.225000          27321  -1.003044e+02   2.126218e+02
      1.275000          24766  -2.092206e+02   2.230828e+02
      1.325000          19782  -2.686948e+02   2.365176e+02
      1.375000          18435  -2.588545e+02   2.494603e+02
      1.425000          16447  -2.077967e+02   2.598501e+02
      1.475000          18615  -2.025183e+02   2.699760e+02
      1.525000          19301  -2.447006e+02   2.822111e+02
      1.575000           8774  -2.882923e+02   2.966257e+02
      1.625000           9251  -2.656051e+02   3.099059e+02
      1.675000          15578  -2.785367e+02   3.238328e+02
      1.725000           6996  -3.862813e+02   3.431468e+02
      1.775000          11194  -9.835046e+01   3.480644e+02
      1.825000          18363  -1.431194e+02   3.552203e+02
      1.875000          15108  -2.165134e+02   3.660460e+02
      1.925000           8567  -2.293362e+02   3.775128e+02
      1.975000           6874  -1.531238e+02   3.851690e+02
      2.025000          13879  -9.846200e+01   3.900921e+02
      2.075000          20364  -1.156316e+02   3.958737e+02
      2.125000          13400  -1.853641e+02   4.051419e+02
      2.175000           8918  -2.910290e+02   4.196933e+02
      2.225000           8537  -1.472725e+02   4.270570e+02
      2.275000          14310  -1.987645e+02   4.369952e+02
      2.325000           7638  -1.799416e+02   4.459923e+02
      2.375000           7278  -2.070054e+02   4.563425e+02
      2.425000           4650  -1.703446e+02   4.648598e+02
      2.475000           6334  -1.543150e+02   4.725755e+02
      2.525000           3166  -1.941064e+02   4.822808e+02
      2.575000            127  -3.669079e+02   5.006262e+02
