          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.420666e-01   0.000000e+00              1             50              1              8   1.306298e+01   0.000000e+00   8.332359e-01
           500   6.674797e-01   9.945778e-01              1             48              1             10   1.321556e+01   6.025661e-02   8.591811e-01
          1000   6.979146e-01   1.974006e+00              1             47              0             10   1.345731e+01   8.389476e-02   8.636273e-01
          1500   6.832956e-01   2.966700e+00              1             46              0              8   1.306864e+01   8.116207e-02   8.432260e-01
          2000   6.837336e-01   3.959401e+00              1             50              0              9   1.316767e+01   8.082899e-02   8.504251e-01
          2500   6.814821e-01   4.953260e+00              1             49              0              8   1.314230e+01   8.750139e-02   8.588032e-01
          3000   6.794232e-01   5.943881e+00              1             50              0              9   1.290033e+01   1.191128e-01   8.341881e-01
          3500   6.882888e-01   6.926828e+00              1             50              0              9   1.290938e+01   1.252332e-01   8.544855e-01
          4000   6.917398e-01   7.916435e+00              2             50              0              8   1.288976e+01   1.145617e-01   8.616868e-01
          4500   6.702138e-01   8.886713e+00              2             50              1              9   1.304095e+01   9.845424e-02   8.610622e-01
          5000   6.873800e-01   9.862230e+00              1             45              1             10   1.300113e+01   8.103186e-02   8.549832e-01
          5500   7.070460e-01   1.012853e+01              1             48              1              8   1.309822e+01   9.090205e-02   8.664441e-01
          6000   7.181118e-01   1.108372e+01              1             49              3              7   1.329411e+01   1.104130e-01   8.681683e-01
          6500   6.618147e-01   1.274126e+01              1             52              2              7   1.315546e+01   8.464079e-02   8.549991e-01
          7000   6.828729e-01   1.373421e+01              1             52              3              8   1.331017e+01   9.006494e-02   8.692808e-01
          7500   6.637302e-01   1.472322e+01              1             48              1              9   1.303108e+01   7.701793e-02   8.401934e-01
          8000   6.630436e-01   1.571203e+01              1             45              1             10   1.293219e+01   8.831581e-02   8.475694e-01
          8500   6.538458e-01   1.422518e+01              1             49              1             10   1.312708e+01   1.034353e-01   8.602510e-01
          9000   6.665842e-01   1.765005e+01              1             49              3              9   1.297700e+01   9.944303e-02   8.452373e-01
          9500   6.563039e-01   1.612003e+01              1             50              1             10   1.301372e+01   1.041181e-01   8.548111e-01
         10000   6.723046e-01   1.961547e+01              1             50              2             11   1.319560e+01   1.178445e-01   8.521070e-01
         10500   6.808367e-01   2.061019e+01              1             49              2             10   1.277000e+01   1.216554e-01   8.427423e-01
         11000   6.796652e-01   2.160077e+01              1             49              1             11   1.293490e+01   1.276664e-01   8.385884e-01
         11500   6.871545e-01   2.259431e+01              1             50              2             11   1.302239e+01   1.280583e-01   8.359557e-01
         12000   6.655657e-01   2.358583e+01              2             49              2             11   1.301478e+01   1.394022e-01   8.161232e-01
         12500   6.558693e-01   2.457530e+01              1             49              2              7   1.307662e+01   1.105175e-01   8.366391e-01
         13000   6.979534e-01   2.293071e+01              2             48              2              9   1.317947e+01   1.279128e-01   8.649252e-01
         13500   6.990048e-01   2.390343e+01              1             49              1              6   1.335815e+01   1.338329e-01   8.762197e-01
         14000   6.734497e-01   2.750824e+01              1             48              2              9   1.326276e+01   1.340166e-01   8.527316e-01
         14500   6.954983e-01   2.850115e+01              2             50              2              9   1.311282e+01   1.319119e-01   8.545586e-01
         15000   6.765074e-01   2.947709e+01              1             50              3              7   1.294342e+01   1.242998e-01   8.593255e-01
         15500   6.741901e-01   3.047200e+01              1             50              2             10   1.322790e+01   1.362246e-01   8.588136e-01
         16000   6.792537e-01   3.146838e+01              1             48              2             10   1.300419e+01   1.388503e-01   8.426518e-01
         16500   6.811507e-01   3.245023e+01              1             48              2              9   1.305988e+01   1.333102e-01   8.363981e-01
         17000   6.748394e-01   3.344313e+01              1             46              2             10   1.314038e+01   1.390748e-01   8.362622e-01
         17500   6.876669e-01   3.443661e+01              1             50              2              8   1.299929e+01   1.288452e-01   8.549256e-01
         18000   6.931398e-01   3.541158e+01              1             50              3             10   1.283516e+01   1.275056e-01   8.491579e-01
         18500   6.928483e-01   3.296440e+01              2             50              2             11   1.334387e+01   1.624970e-01   8.567738e-01
         19000   7.137952e-01   3.392098e+01              2             50              2              9   1.348497e+01   1.358899e-01   8.515094e-01
         19500   7.234521e-01   3.491463e+01              1             47              2              8   1.312119e+01   1.457658e-01   8.527575e-01
         20000   7.104993e-01   3.589727e+01              2             51              2             10   1.319225e+01   1.376016e-01   8.505883e-01
         20500   7.122347e-01   3.687723e+01              1             48              2              8   1.301768e+01   1.333312e-01   8.670248e-01
         21000   6.809657e-01   4.107954e+01              1             51              1              9   1.318087e+01   1.223049e-01   8.440889e-01
         21500   6.804525e-01   4.207505e+01              2             53              2             11   1.321246e+01   1.283463e-01   8.435539e-01
         22000   6.900816e-01   4.306108e+01              2             50              2             10   1.325138e+01   1.270232e-01   8.586796e-01
         22500   6.702239e-01   3.764958e+01              1             52              2              9   1.343539e+01   1.195629e-01   8.530210e-01
         23000   6.516172e-01   3.861229e+01              2             47              2              7   1.315990e+01   1.334374e-01   8.446518e-01
         23500   6.503662e-01   3.958668e+01              2             50              2              8   1.320807e+01   1.262757e-01   8.424150e-01
         24000   6.653075e-01   4.689571e+01              2             50              2              9   1.311680e+01   9.731503e-02   8.489125e-01
         24500   6.730552e-01   4.789109e+01              1             53              3             10   1.315162e+01   1.136422e-01   8.495854e-01
         25000   6.514373e-01   4.887095e+01              2             52              3              8   1.320499e+01   1.302093e-01   8.812666e-01
         25500   6.720587e-01   4.985693e+01              2             52              2             10   1.269773e+01   1.313448e-01   8.422458e-01
         26000   6.491619e-01   4.418025e+01              1             51              2              7   1.303663e+01   1.419125e-01   8.396570e-01
         26500   6.387311e-01   4.513798e+01              1             51              2              7   1.289201e+01   1.477637e-01   8.219513e-01
         27000   6.397320e-01   4.613020e+01              1             50              3              7   1.307780e+01   1.302079e-01   8.421261e-01
         27500   6.225345e-01   3.269427e+01              2             51              3              9   1.264922e+01   1.384921e-01   8.154902e-01
         28000   6.351916e-01   4.810699e+01              1             52              2              7   1.311190e+01   1.288092e-01   8.369625e-01
         28500   6.257261e-01   4.909971e+01              1             50              2              9   1.307002e+01   1.300071e-01   8.259934e-01
         29000   6.071276e-01   3.540766e+01              2             50              3             10   1.299380e+01   1.314233e-01   8.264689e-01
         29500   6.209742e-01   5.104569e+01              1             51              3              9   1.298484e+01   1.335654e-01   8.286322e-01
         30000   6.088012e-01   3.733072e+01              1             49              3              6   1.326630e+01   1.364175e-01   8.174127e-01
         30500   5.962265e-01   3.830877e+01              1             50              3              8   1.327077e+01   1.485168e-01   8.166724e-01
         31000   6.108796e-01   5.392052e+01              2             53              2              8   1.306079e+01   1.415754e-01   8.052522e-01
         31500   6.241780e-01   5.488604e+01              1             53              2              6   1.325899e+01   1.445828e-01   8.360247e-01
         32000   6.222641e-01   5.586125e+01              1             52              3              8   1.288723e+01   1.562285e-01   7.859305e-01
         32500   6.198270e-01   5.682635e+01              1             53              2              8   1.285435e+01   1.647152e-01   7.890656e-01
         33000   6.322897e-01   5.780226e+01              1             52              2              9   1.274005e+01   1.648841e-01   7.973540e-01
         33500   6.134933e-01   4.400944e+01              2             52              2             10   1.310047e+01   1.609989e-01   8.123612e-01
         34000   6.257163e-01   5.976527e+01              1             50              2              9   1.279560e+01   1.679985e-01   7.999906e-01
         34500   6.176251e-01   6.075490e+01              1             51              2              9   1.298792e+01   1.669307e-01   7.964596e-01
         35000   6.072350e-01   4.671538e+01              1             51              1              5   1.279670e+01   1.617482e-01   8.073435e-01
         35500   6.237959e-01   6.272977e+01              2             49              2              9   1.295546e+01   1.575233e-01   8.161299e-01
         36000   6.391457e-01   6.372519e+01              2             50              1              7   1.326361e+01   1.362662e-01   8.249305e-01
         36500   6.200800e-01   6.472093e+01              1             50              2              7   1.285867e+01   1.450422e-01   8.074184e-01
         37000   6.428933e-01   6.571818e+01              1             50              1              8   1.286537e+01   1.507076e-01   8.202299e-01
         37500   6.467491e-01   6.669132e+01              1             51              2              6   1.297310e+01   1.439096e-01   8.315338e-01
         38000   6.733521e-01   7.093336e+01              2             53              2             10   1.298025e+01   1.619194e-01   8.216459e-01
         38500   6.645671e-01   7.192973e+01              1             49              2              7   1.306175e+01   1.354044e-01   8.258237e-01
         39000   6.658571e-01   7.292470e+01              1             51              2              8   1.294508e+01   1.439265e-01   8.379000e-01
         39500   6.529608e-01   7.033902e+01              2             52              3             10   1.305802e+01   1.330297e-01   8.374410e-01
         40000   6.902618e-01   7.488044e+01              2             51              2              9   1.297768e+01   1.494072e-01   8.272851e-01
         40500   6.597883e-01   7.586158e+01              2             52              3              7   1.306522e+01   1.444586e-01   8.325134e-01
         41000   6.568526e-01   7.682469e+01              2             51              2              7   1.287904e+01   1.419108e-01   8.397148e-01
         41500   6.433318e-01   7.397466e+01              2             51              3              8   1.286964e+01   1.389773e-01   8.375621e-01
         42000   6.433109e-01   7.495725e+01              1             51              3              6   1.276975e+01   1.526831e-01   8.394701e-01
         42500   6.588357e-01   7.967906e+01              2             51              3              8   1.284336e+01   1.479152e-01   8.362413e-01
         43000   6.511530e-01   7.680564e+01              1             52              3              8   1.297729e+01   1.463938e-01   8.528833e-01
         43500   6.605700e-01   8.164107e+01              2             49              2              9   1.318980e+01   1.377355e-01   8.413668e-01
         44000   6.583518e-01   8.262144e+01              2             52              3              7   1.285260e+01   1.641439e-01   8.524385e-01
         44500   6.625893e-01   8.360006e+01              1             52              3              9   1.286760e+01   1.559982e-01   8.460732e-01
         45000   6.672109e-01   8.457019e+01              1             49              2              6   1.316381e+01   1.517420e-01   8.348815e-01
         45500   6.920008e-01   7.182335e+01              1             50              2              8   1.294333e+01   1.259044e-01   8.423433e-01
         46000   6.766957e-01   8.651011e+01              1             48              3              6   1.282697e+01   1.429350e-01   8.461696e-01
         46500   6.826100e-01   8.745312e+01              1             52              3              8   1.308078e+01   1.558135e-01   8.605867e-01
         47000   6.798902e-01   8.843649e+01              2             53              3              8   1.312027e+01   1.590246e-01   8.732971e-01
         47500   6.965368e-01   7.561273e+01              2             51              2              8   1.335576e+01   1.659184e-01   8.719922e-01
         48000   6.952118e-01   7.658705e+01              1             50              3              9   1.354289e+01   1.659148e-01   8.673506e-01
         48500   7.204272e-01   7.758141e+01              2             52              3              8   1.369101e+01   1.740765e-01   8.924842e-01
         49000   7.092617e-01   7.857233e+01              1             52              3              8   1.377474e+01   1.573151e-01   8.881786e-01
         49500   6.556127e-01   9.302188e+01              1             52              3              6   1.330337e+01   1.481337e-01   8.742156e-01
         50000   6.556157e-01   9.400394e+01              1             51              3              8   1.321345e+01   1.472788e-01   8.551611e-01
         50500   6.659919e-01   9.495875e+01              2             51              3             10   1.328937e+01   1.376712e-01   8.576336e-01
         51000   6.592337e-01   9.595038e+01              1             49              3              9   1.333665e+01   1.150418e-01   8.602358e-01
         51500   6.286213e-01   9.089044e+01              2             53              3              8   1.299564e+01   1.235023e-01   8.539589e-01
         52000   5.946538e-01   6.924721e+01              2             53              3              8   1.345353e+01   1.484400e-01   8.648365e-01
         52500   5.996510e-01   7.023317e+01              1             53              3              9   1.337492e+01   1.262288e-01   8.702291e-01
         53000   6.447804e-01   9.368985e+01              1             52              3              9   1.304687e+01   1.348850e-01   8.505011e-01
         53500   6.251612e-01   9.467850e+01              2             52              3              9   1.319333e+01   1.312212e-01   8.629746e-01
         54000   6.175556e-01   7.302720e+01              1             53              3              8   1.310599e+01   1.268183e-01   8.417009e-01
         54500   6.041265e-01   7.397134e+01              2             52              4             10   1.311057e+01   1.610391e-01   8.645537e-01
         55000   5.931931e-01   7.496025e+01              2             54              3             11   1.309575e+01   1.464159e-01   8.575124e-01
