         r_bin          count          force            pmf
      0.675000            457   8.373744e+02   2.187865e+01
      0.725000          18602   4.375731e+02   0.000000e+00
      0.775000          49109  -2.141052e+01   1.070526e+00
      0.825000           7988  -4.697893e+02   2.455999e+01
      0.875000           5210  -8.298835e+02   6.605417e+01
      0.925000           4594  -7.306131e+02   1.025848e+02
      0.975000           2775  -4.342582e+02   1.242977e+02
      1.025000           7093  -2.485402e+02   1.367247e+02
      1.075000          14491  -2.068938e+02   1.470694e+02
      1.125000          16239  -2.750716e+02   1.608230e+02
      1.175000          13508  -3.662678e+02   1.791364e+02
      1.225000          11689  -4.496341e+02   2.016181e+02
      1.275000          10967  -4.539817e+02   2.243172e+02
      1.325000           9493  -4.743818e+02   2.480363e+02
      1.375000          15714  -3.737193e+02   2.667222e+02
      1.425000          17404  -2.587816e+02   2.796613e+02
      1.475000          12774  -3.493210e+02   2.971274e+02
      1.525000          12544  -3.481542e+02   3.145351e+02
      1.575000          14756  -3.412927e+02   3.315997e+02
      1.625000           3160  -4.500172e+02   3.541006e+02
      1.675000           1075  -4.103821e+02   3.746197e+02
      1.725000           2471  -2.566751e+02   3.874534e+02
      1.775000           3997  -1.328991e+02   3.940984e+02
      1.825000           9179  -9.025322e+01   3.986111e+02
      1.875000           5917  -2.031128e+02   4.087667e+02
      1.925000           3912  -2.155051e+02   4.195419e+02
      1.975000            863  -2.618774e+02   4.326358e+02
      2.025000           1187  -7.878312e+01   4.365750e+02
      2.075000           6184  -6.247067e+01   4.396985e+02
      2.125000          10422  -9.319222e+01   4.443581e+02
      2.175000           2039  -2.079855e+02   4.547574e+02
      2.225000            228  -2.552007e+02   4.675174e+02
      2.275000           2855  -6.680443e+01   4.708577e+02
      2.325000           7834  -1.003146e+02   4.758734e+02
      2.375000           2469  -1.791842e+02   4.848326e+02
      2.425000           2897  -4.382093e+01   4.870236e+02
      2.475000           8498  -7.400470e+01   4.907239e+02
      2.525000           4237  -1.907983e+02   5.002638e+02
      2.575000           3921  -8.467874e+01   5.044977e+02
      2.625000           4162  -2.125195e+02   5.151237e+02
      2.675000           3316  -1.357354e+02   5.219105e+02
      2.725000           6800  -1.527621e+02   5.295486e+02
      2.775000           4204  -7.208647e+01   5.331529e+02
      2.825000          14650  -1.484243e+02   5.405741e+02
      2.875000           6516  -2.927472e+02   5.552115e+02
