         r_bin          count          force            pmf
      0.325000             29   1.917107e+03   1.220684e+02
      0.375000          23385   1.297140e+03   5.721144e+01
      0.425000          46054   9.807428e+02   8.174299e+00
      0.475000          45494   1.634860e+02   0.000000e+00
      0.525000          31624  -1.548877e+02   7.744384e+00
      0.575000          38084  -2.120608e+02   1.834742e+01
      0.625000          30927  -2.198273e+02   2.933879e+01
      0.675000          17905  -4.283013e+02   5.075385e+01
      0.725000          26783  -4.032323e+02   7.091547e+01
      0.775000          17121  -5.393395e+02   9.788244e+01
      0.825000          11738  -6.191199e+02   1.288384e+02
      0.875000           9213  -7.698470e+02   1.673308e+02
      0.925000           3092  -6.341168e+02   1.990366e+02
      0.975000           4290  -3.665605e+02   2.173647e+02
      1.025000          11257  -2.337185e+02   2.290506e+02
      1.075000          11990  -2.660077e+02   2.423510e+02
      1.125000           4527  -3.580540e+02   2.602537e+02
      1.175000           4059  -7.930686e+01   2.642190e+02
      1.225000           9301  -5.281683e+01   2.668599e+02
      1.275000          17271   1.568222e+01   2.660757e+02
      1.325000          14088  -4.300834e+01   2.682262e+02
      1.375000          11094  -1.127190e+02   2.738621e+02
      1.425000          11017   9.614725e+00   2.733814e+02
      1.475000          10859  -5.753320e+00   2.736690e+02
      1.525000           9559  -9.071919e+00   2.741226e+02
      1.575000          13874  -5.638057e+00   2.744045e+02
      1.625000          11614  -5.376078e+01   2.770926e+02
      1.675000           5308  -1.544157e+02   2.848134e+02
      1.725000           9805  -8.205404e+01   2.889161e+02
      1.775000           9189   7.757816e+00   2.885282e+02
      1.825000          14181  -5.723706e+01   2.913900e+02
      1.875000           7608  -9.781603e+01   2.962808e+02
      1.925000           5958   5.516087e+01   2.935228e+02
      1.975000          11236   1.783628e+01   2.926310e+02
      2.025000           7860  -3.419309e+01   2.943406e+02
      2.075000           7983  -4.226890e+01   2.964541e+02
      2.125000           7552  -9.060737e+01   3.009844e+02
      2.175000           6439  -1.895374e+02   3.104613e+02
      2.225000            574  -2.721885e+02   3.240707e+02
      2.275000           2486  -9.330216e+00   3.245372e+02
      2.325000           5598   4.998399e+01   3.220380e+02
      2.375000           7841   3.444526e+01   3.203158e+02
      2.425000           6735   1.383284e+01   3.196241e+02
      2.475000           5190   4.015945e-01   3.196041e+02
      2.525000           7374  -9.308433e+01   3.242583e+02
      2.575000           1134  -2.070792e+02   3.346122e+02
