         r_bin          count          force            pmf
      0.575000            350   1.051546e+03   4.934886e+01
      0.625000          13585   7.970864e+02   9.494536e+00
      0.675000          42531   1.898907e+02   0.000000e+00
      0.725000          32954  -2.345926e+02   1.172963e+01
      0.775000           5221  -7.973733e+02   5.159830e+01
      0.825000          12108  -8.759328e+02   9.539494e+01
      0.875000          12928  -7.679967e+02   1.337948e+02
      0.925000           4823  -6.631862e+02   1.669541e+02
      0.975000           2724  -3.494466e+02   1.844264e+02
      1.025000          10595  -2.966515e+02   1.992590e+02
      1.075000           6721  -2.638525e+02   2.124516e+02
      1.125000           4308  -3.094379e+02   2.279235e+02
      1.175000           6508  -2.202004e+02   2.389335e+02
      1.225000           5718  -2.303415e+02   2.504506e+02
      1.275000           6020  -2.290030e+02   2.619007e+02
      1.325000           8867  -1.897186e+02   2.713867e+02
      1.375000           6129  -2.632003e+02   2.845467e+02
      1.425000            893  -3.024983e+02   2.996716e+02
      1.475000            941  -1.617937e+02   3.077613e+02
      1.525000           3252  -8.541959e+01   3.120323e+02
      1.575000           4232  -1.325096e+02   3.186578e+02
      1.625000            319  -1.426807e+02   3.257918e+02
      1.675000           2030  -6.367956e+01   3.289758e+02
      1.725000           3296  -4.383832e+01   3.311677e+02
      1.775000           2418  -1.047248e+02   3.364039e+02
      1.825000           1684  -9.866645e+01   3.413372e+02
      1.875000            665  -1.140253e+02   3.470385e+02
      1.925000           5121  -4.242707e+00   3.472506e+02
      1.975000           5769  -5.470026e+01   3.499857e+02
      2.025000           4733  -7.610183e+01   3.537908e+02
      2.075000           1201  -2.385841e+02   3.657200e+02
      2.125000           2174  -4.214938e+01   3.678274e+02
      2.175000           5286  -2.273318e+01   3.689641e+02
      2.225000           5405  -2.069979e+01   3.699991e+02
      2.275000           2772  -1.017910e+02   3.750886e+02
      2.325000           3435   1.086169e+01   3.745455e+02
      2.375000           2434   7.641564e+01   3.707248e+02
      2.425000           1855   1.111538e+02   3.651671e+02
      2.475000           5554   1.048965e+01   3.646426e+02
      2.525000           4658  -8.781688e+01   3.690334e+02
      2.575000           2742  -1.940901e+01   3.700039e+02
      2.625000           4297  -6.636640e+01   3.733222e+02
      2.675000           3460  -3.183220e+01   3.749138e+02
      2.725000           8725  -9.031399e+01   3.794295e+02
      2.775000           1930  -2.122880e+02   3.900439e+02
      2.825000             29  -4.328800e+02   4.116879e+02
