         r_bin          count          force            pmf
      0.625000           1094   6.255745e+02   9.408259e+00
      0.675000          31856   1.881652e+02   0.000000e+00
      0.725000          27620  -1.691565e+02   8.457823e+00
      0.775000           4665  -6.564491e+02   4.128028e+01
      0.825000           2802  -6.838348e+02   7.547202e+01
      0.875000           5602  -4.644036e+02   9.869220e+01
      0.925000           8740  -3.451010e+02   1.159472e+02
      0.975000           5072  -2.746515e+02   1.296798e+02
      1.025000           6789  -2.686442e+02   1.431120e+02
      1.075000           2189  -2.317560e+02   1.546998e+02
      1.125000           4099  -2.036102e+02   1.648803e+02
      1.175000           1745  -2.403425e+02   1.768975e+02
      1.225000           1761   8.575075e+01   1.726099e+02
      1.275000           8945   1.439452e+01   1.718902e+02
      1.325000          11680  -4.322298e+01   1.740514e+02
      1.375000           6275  -1.209477e+02   1.800987e+02
      1.425000           3165  -1.777697e+02   1.889872e+02
      1.475000            698  -2.673130e+02   2.023529e+02
      1.525000           1500  -1.387520e+02   2.092905e+02
      1.575000           2555  -9.552849e+01   2.140669e+02
      1.625000           2617  -9.966205e+01   2.190500e+02
      1.675000           1310  -1.000543e+02   2.240527e+02
      1.725000           2617  -8.215651e+01   2.281605e+02
      1.775000           1572  -8.258923e+01   2.322900e+02
      1.825000           1397  -4.580852e+01   2.345804e+02
      1.875000           2684  -8.229144e+01   2.386950e+02
      1.925000           1019  -6.918577e+01   2.421543e+02
      1.975000            602  -4.597343e+01   2.444530e+02
      2.025000            349  -1.213962e+02   2.505228e+02
      2.075000           1350   3.839590e+01   2.486030e+02
      2.125000           2258  -6.941357e+00   2.489500e+02
      2.175000           1895   1.928997e+01   2.479855e+02
      2.225000           3056   8.083760e+01   2.439437e+02
      2.275000           4017   8.252868e+00   2.435310e+02
      2.325000           3522  -6.734325e+01   2.468982e+02
      2.375000           2633   2.743316e+01   2.455265e+02
      2.425000           4015  -4.454925e+01   2.477540e+02
      2.475000           2624  -6.845821e+01   2.511769e+02
      2.525000            879   5.422601e+01   2.484656e+02
      2.575000           2309  -2.167663e+01   2.495494e+02
      2.625000           4762  -4.205721e+01   2.516523e+02
      2.675000           2932   6.560244e+01   2.483722e+02
      2.725000          10562  -7.652235e+01   2.521983e+02
      2.775000           3867  -1.872251e+02   2.615595e+02
