         r_bin          count          force            pmf
      0.275000            410   2.661074e+02   2.704416e+00
      0.325000          19041   5.408832e+01   0.000000e+00
      0.375000           5381  -1.288317e+02   6.441587e+00
      0.425000            468  -2.811266e+02   2.049792e+01
      0.475000           3028  -2.264890e+02   3.182236e+01
      0.525000           9809  -1.303661e+02   3.834067e+01
      0.575000          13052  -2.010380e+02   4.839257e+01
      0.625000          14067  -2.590442e+02   6.134478e+01
      0.675000          10530  -3.577561e+02   7.923258e+01
      0.725000          10720  -4.267158e+02   1.005684e+02
      0.775000           4452  -4.936706e+02   1.252519e+02
      0.825000          10282  -3.464122e+02   1.425725e+02
      0.875000           5253  -3.930973e+02   1.622274e+02
      0.925000           3252  -2.744808e+02   1.759514e+02
      0.975000           3650  -1.760638e+02   1.847546e+02
      1.025000           8125  -1.360842e+02   1.915588e+02
      1.075000          10171  -1.826594e+02   2.006918e+02
      1.125000           3609  -3.006215e+02   2.157229e+02
      1.175000           2210  -2.887138e+02   2.301585e+02
      1.225000           2037  -2.245348e+02   2.413853e+02
      1.275000           2345  -7.699432e+01   2.452350e+02
      1.325000           6685  -8.251587e+00   2.456476e+02
      1.375000           9097  -2.079311e+01   2.466872e+02
      1.425000           8227  -9.891170e+01   2.516328e+02
      1.475000           3064  -5.488746e+01   2.543772e+02
      1.525000           5613  -7.818384e+01   2.582864e+02
      1.575000           5788  -1.022504e+02   2.633989e+02
      1.625000           5381  -1.724884e+02   2.720233e+02
      1.675000            337  -2.233068e+02   2.831887e+02
      1.725000            920  -1.235611e+02   2.893667e+02
      1.775000           4304  -9.322722e+01   2.940281e+02
      1.825000           5250  -1.262669e+01   2.946594e+02
      1.875000           6650  -2.836276e+01   2.960776e+02
      1.925000           6425  -8.766363e+01   3.004607e+02
      1.975000           3827  -1.026880e+02   3.055951e+02
      2.025000           5705  -2.823987e+01   3.070071e+02
      2.075000           7699  -5.825306e+01   3.099198e+02
      2.125000           6993  -2.830415e+01   3.113350e+02
      2.175000           8655  -9.753163e+01   3.162116e+02
      2.225000           3777  -1.095677e+02   3.216900e+02
      2.275000           5169  -7.836836e+01   3.256084e+02
      2.325000          15564  -1.612774e+02   3.336722e+02
      2.375000           2352  -3.127702e+02   3.493107e+02
      2.425000             26  -6.312819e+02   3.808748e+02
