         r_bin          count          force            pmf
      0.275000             75   4.808199e+02   6.875963e+00
      0.325000           4705   1.375193e+02   0.000000e+00
      0.375000          14777  -2.892148e+01   1.446074e+00
      0.425000           4777  -1.843960e+02   1.066588e+01
      0.475000           5689  -2.488989e+02   2.311082e+01
      0.525000           5130  -3.082717e+02   3.852441e+01
      0.575000           2816  -1.940160e+02   4.822521e+01
      0.625000          10769  -1.551354e+02   5.598198e+01
      0.675000          14831  -2.185573e+02   6.690984e+01
      0.725000           9996  -3.357749e+02   8.369859e+01
      0.775000           2579  -3.473069e+02   1.010639e+02
      0.825000          13479  -3.159222e+02   1.168600e+02
      0.875000           8340  -3.524561e+02   1.344829e+02
      0.925000           3053  -3.685616e+02   1.529109e+02
      0.975000          10839  -2.471495e+02   1.652684e+02
      1.025000           7784  -3.091815e+02   1.807275e+02
      1.075000           4377  -3.030110e+02   1.958780e+02
      1.125000           2790  -3.078899e+02   2.112725e+02
      1.175000           2613  -1.818552e+02   2.203653e+02
      1.225000          17168  -1.530993e+02   2.280203e+02
      1.275000           4638  -2.415019e+02   2.400953e+02
      1.325000           4725  -3.133918e+02   2.557649e+02
      1.375000           9286  -2.013128e+02   2.658306e+02
      1.425000          13921  -2.702695e+02   2.793441e+02
      1.475000           2291  -4.022703e+02   2.994576e+02
      1.525000           6884  -2.532236e+02   3.121187e+02
      1.575000          14897  -2.888740e+02   3.265624e+02
      1.625000           3565  -3.795386e+02   3.455394e+02
      1.675000           5037  -3.468422e+02   3.628815e+02
      1.725000           3574  -1.943390e+02   3.725984e+02
      1.775000           5133  -2.891602e+02   3.870564e+02
      1.825000           3590  -1.591562e+02   3.950143e+02
      1.875000           7008  -1.173919e+02   4.008839e+02
      1.925000          11595  -1.787717e+02   4.098224e+02
      1.975000           3923  -2.885187e+02   4.242484e+02
      2.025000           2929  -2.891910e+02   4.387079e+02
      2.075000           1363  -1.333199e+02   4.453739e+02
      2.125000           4008   3.129455e+01   4.438092e+02
      2.175000          10152   2.825178e+01   4.423966e+02
      2.225000           5836  -1.963457e+01   4.433783e+02
      2.275000           7801  -6.559922e+01   4.466583e+02
      2.325000           8196  -1.450741e+02   4.539120e+02
      2.375000            761  -1.881912e+02   4.633216e+02
