         r_bin          count          force            pmf
      0.325000           4705   1.416180e+02   0.000000e+00
      0.375000          15158  -1.157741e+01   5.788706e-01
      0.425000          12752  -1.533424e+02   8.245989e+00
      0.475000           5396  -2.801314e+02   2.225256e+01
      0.525000           2806  -3.754433e+02   4.102472e+01
      0.575000           8584  -2.986595e+02   5.595770e+01
      0.625000           8728  -2.383818e+02   6.787679e+01
      0.675000          10078  -2.454631e+02   8.014994e+01
      0.725000           4353  -2.989805e+02   9.509897e+01
      0.775000          12993  -1.841162e+02   1.043048e+02
      0.825000          16284  -2.924322e+02   1.189264e+02
      0.875000           2078  -3.556143e+02   1.367071e+02
      0.925000           2667  -3.607543e+02   1.547448e+02
      0.975000           3318  -2.251972e+02   1.660047e+02
      1.025000           8553  -1.868638e+02   1.753479e+02
      1.075000           5113  -1.994467e+02   1.853202e+02
      1.125000           5725  -2.201789e+02   1.963291e+02
      1.175000           5590  -2.115833e+02   2.069083e+02
      1.225000           4142  -2.425431e+02   2.190355e+02
      1.275000           8438  -1.685409e+02   2.274625e+02
      1.325000           9598  -2.277239e+02   2.388487e+02
      1.375000           8160  -2.487576e+02   2.512866e+02
      1.425000           6758  -2.833901e+02   2.654561e+02
      1.475000           2788  -3.067133e+02   2.807918e+02
      1.525000           1317  -2.712547e+02   2.943545e+02
      1.575000           5500  -1.596019e+02   3.023346e+02
      1.625000           3097  -1.533028e+02   3.099997e+02
      1.675000           5408  -1.233629e+02   3.161679e+02
      1.725000           5325  -1.230808e+02   3.223219e+02
      1.775000           5883  -1.127227e+02   3.279580e+02
      1.825000           8703  -5.624982e+01   3.307705e+02
      1.875000           8558  -2.210567e+01   3.318758e+02
      1.925000          11038   2.728973e+01   3.305113e+02
      1.975000           5227  -9.693531e+01   3.353581e+02
      2.025000           8324  -7.629488e+01   3.391728e+02
      2.075000          10619  -1.117362e+02   3.447597e+02
      2.125000           6596   2.257771e+01   3.436308e+02
      2.175000           6359  -6.962451e+01   3.471120e+02
      2.225000           5916  -8.263024e+01   3.512435e+02
      2.275000           4331  -5.326554e+01   3.539068e+02
      2.325000          14204  -1.181474e+02   3.598142e+02
      2.375000           2830  -2.501162e+02   3.723200e+02
